recv_ts_iso,recv_ts_epoch,topic,node,epoch,t_ms,ct1_irms,ct2_irms,ct1_apparpower,ct2_apparpower,ct1_power,ct2_power,vrms
2026-02-25T15:00:10.636712+00:00,1772031610.637,home/load_meter/node_boiler/metrics,node_boiler,1772031610,123275,0.0,,0.0,,,,
2026-02-25T15:00:11.665581+00:00,1772031611.666,home/load_meter/node_boiler/metrics,node_boiler,1772031611,124275,0.0,,0.0,,,,
2026-02-25T15:00:12.688042+00:00,1772031612.688,home/load_meter/node_boiler/metrics,node_boiler,1772031612,125275,0.0,,0.0,,,,
2026-02-25T15:00:13.615403+00:00,1772031613.615,home/load_meter/node_boiler/metrics,node_boiler,1772031613,126275,0.0,,0.0,,,,
2026-02-25T15:00:18.610483+00:00,1772031618.610,home/load_meter/node_boiler/metrics,node_boiler,1772031618,131275,0.0,,0.0,,,,
2026-02-25T15:00:19.614241+00:00,1772031619.614,home/load_meter/node_boiler/metrics,node_boiler,1772031619,132275,0.0,,0.0,,,,
2026-02-25T15:00:20.749942+00:00,1772031620.750,home/load_meter/node_boiler/metrics,node_boiler,1772031620,133275,0.0,,0.0,,,,
2026-02-25T15:00:21.616676+00:00,1772031621.617,home/load_meter/node_boiler/metrics,node_boiler,1772031621,134275,0.0,,0.0,,,,
2026-02-25T15:00:22.721096+00:00,1772031622.721,home/load_meter/node_boiler/metrics,node_boiler,1772031622,135275,0.0,,0.0,,,,
2026-02-25T15:00:23.747726+00:00,1772031623.748,home/load_meter/node_boiler/metrics,node_boiler,1772031623,136275,0.0,,0.0,,,,
2026-02-25T15:00:24.766135+00:00,1772031624.766,home/load_meter/node_boiler/metrics,node_boiler,1772031624,137275,0.0,,0.0,,,,
2026-02-25T15:00:25.691530+00:00,1772031625.692,home/load_meter/node_boiler/metrics,node_boiler,1772031625,138275,0.0,,0.0,,,,
2026-02-25T15:00:26.716245+00:00,1772031626.716,home/load_meter/node_boiler/metrics,node_boiler,1772031626,139275,0.0,,0.0,,,,
2026-02-25T15:00:27.905062+00:00,1772031627.905,home/load_meter/node_boiler/metrics,node_boiler,1772031627,140275,0.0,,0.0,,,,
2026-02-25T15:00:28.866019+00:00,1772031628.866,home/load_meter/node_boiler/metrics,node_boiler,1772031628,141275,0.0,,0.0,,,,
2026-02-25T15:00:29.684979+00:00,1772031629.685,home/load_meter/node_boiler/metrics,node_boiler,1772031629,142275,0.0,,0.0,,,,
2026-02-25T15:00:30.708420+00:00,1772031630.708,home/load_meter/node_boiler/metrics,node_boiler,1772031630,143275,0.0,,0.0,,,,
2026-02-25T15:00:31.732934+00:00,1772031631.733,home/load_meter/node_boiler/metrics,node_boiler,1772031631,144275,0.0,,0.0,,,,
2026-02-25T15:00:32.653501+00:00,1772031632.654,home/load_meter/node_boiler/metrics,node_boiler,1772031632,145275,0.0,,0.0,,,,
2026-02-25T15:00:33.781913+00:00,1772031633.782,home/load_meter/node_boiler/metrics,node_boiler,1772031633,146275,0.0,,0.0,,,,
2026-02-25T15:00:34.805557+00:00,1772031634.806,home/load_meter/node_boiler/metrics,node_boiler,1772031634,147275,0.0,,0.0,,,,
2026-02-25T15:00:35.826761+00:00,1772031635.827,home/load_meter/node_boiler/metrics,node_boiler,1772031635,148275,0.0,,0.0,,,,
2026-02-25T15:00:36.848879+00:00,1772031636.849,home/load_meter/node_boiler/metrics,node_boiler,1772031636,149275,0.0,,0.0,,,,
2026-02-25T15:00:37.670117+00:00,1772031637.670,home/load_meter/node_boiler/metrics,node_boiler,1772031637,150275,0.0,,0.0,,,,
2026-02-25T15:00:38.692356+00:00,1772031638.692,home/load_meter/node_boiler/metrics,node_boiler,1772031638,151275,0.0,,0.0,,,,
2026-02-25T15:00:39.715518+00:00,1772031639.716,home/load_meter/node_boiler/metrics,node_boiler,1772031639,152275,0.0,,0.0,,,,
2026-02-25T15:00:40.743320+00:00,1772031640.743,home/load_meter/node_boiler/metrics,node_boiler,1772031640,153275,0.0,,0.0,,,,
2026-02-25T15:00:41.616174+00:00,1772031641.616,home/load_meter/node_boiler/metrics,node_boiler,1772031641,154275,0.0,,0.0,,,,
2026-02-25T15:00:42.690288+00:00,1772031642.690,home/load_meter/node_boiler/metrics,node_boiler,1772031642,155275,0.0,,0.0,,,,
2026-02-25T15:00:43.713336+00:00,1772031643.713,home/load_meter/node_boiler/metrics,node_boiler,1772031643,156275,0.0,,0.0,,,,
2026-02-25T15:00:44.636598+00:00,1772031644.637,home/load_meter/node_boiler/metrics,node_boiler,1772031644,157275,1.162,,267.246,,,,
2026-02-25T15:00:45.656597+00:00,1772031645.657,home/load_meter/node_boiler/metrics,node_boiler,1772031645,158275,0.235,,54.023,,,,
2026-02-25T15:00:46.682986+00:00,1772031646.683,home/load_meter/node_boiler/metrics,node_boiler,1772031646,159275,0.458,,105.391,,,,
2026-02-25T15:00:47.707324+00:00,1772031647.707,home/load_meter/node_boiler/metrics,node_boiler,1772031647,160275,0.453,,104.247,,,,
2026-02-25T15:00:48.732485+00:00,1772031648.732,home/load_meter/node_boiler/metrics,node_boiler,1772031648,161275,0.615,,141.407,,,,
2026-02-25T15:00:49.748514+00:00,1772031649.749,home/load_meter/node_boiler/metrics,node_boiler,1772031649,162275,0.0,,0.0,,,,
2026-02-25T15:00:50.620847+00:00,1772031650.621,home/load_meter/node_boiler/metrics,node_boiler,1772031650,163275,0.0,,0.0,,,,
2026-02-25T15:00:51.723381+00:00,1772031651.723,home/load_meter/node_boiler/metrics,node_boiler,1772031651,164275,0.0,,0.0,,,,
2026-02-25T15:00:52.617850+00:00,1772031652.618,home/load_meter/node_boiler/metrics,node_boiler,1772031652,165275,2.368,,544.678,,,,
2026-02-25T15:00:53.853308+00:00,1772031653.853,home/load_meter/node_boiler/metrics,node_boiler,1772031653,166275,1.277,,293.595,,,,
2026-02-25T15:00:54.676671+00:00,1772031654.677,home/load_meter/node_boiler/metrics,node_boiler,1772031654,167275,0.0,,0.0,,,,
2026-02-25T15:00:55.693405+00:00,1772031655.693,home/load_meter/node_boiler/metrics,node_boiler,1772031655,168275,0.0,,0.0,,,,
